x,y,integrity,signal
715,224,0.6306567,3.0480933
1427,1539,0.6316133,3.0406954
1217,848,0.6329011,3.078686
520,825,0.632957,3.0546885
1409,243,0.63368493,3.389562
1163,668,0.6339246,3.0440278
1610,1741,0.6344394,3.0788121
354,302,0.63687515,3.5581772
1307,503,0.6387142,3.099489
1153,200,0.63904077,3.0323575
688,533,0.63969004,3.047809
1396,725,0.6401464,3.13778
254,493,0.6403474,3.5477254
66,1109,0.6411867,3.1218932
509,321,0.6413387,3.5938828
162,501,0.6425935,3.146844
1104,1111,0.64275277,3.1238143
844,642,0.6447255,3.1354425
27,1440,0.6463091,3.1214192
792,289,0.64637786,3.1646264
379,552,0.6483436,3.07055
112,1132,0.64965975,3.2967632
471,737,0.65013075,3.2206547
1528,98,0.6502288,3.0615437
612,99,0.650999,3.0084186
996,220,0.65162313,3.172861
883,380,0.6519651,3.5057077
1150,388,0.6523611,3.0132782
939,534,0.6525448,3.0911467
563,658,0.6525601,3.0345714
332,981,0.653259,3.017393
351,206,0.6537929,3.0226476
752,505,0.65386724,3.2937927
1161,781,0.6544766,3.445774
319,323,0.65452754,3.0035963
1051,1334,0.65570617,3.0105195
665,1762,0.65592426,3.068927
620,142,0.6559598,3.0442917
375,893,0.6564944,3.0000622
62,1371,0.6574595,3.0833035
1309,1221,0.65770745,3.0841768
745,1192,0.65800023,3.091653
1219,1694,0.6591843,3.0251155
579,348,0.6592136,3.1804676
958,670,0.66047657,3.0666592
1332,526,0.66100955,3.3539677
372,1553,0.66109115,3.0647583
1271,1066,0.661682,3.0313737
277,561,0.663165,3.0603223
1684,273,0.66390306,3.0160575
1536,978,0.66400796,3.0000753
889,257,0.66442794,3.0080318
920,269,0.6646659,3.025704
1365,880,0.6650849,3.3994627
513,1096,0.6650919,3.1551473
1169,1355,0.6654334,3.0550342
1288,331,0.6662473,3.4270744
1186,1037,0.6663305,3.013768
1393,1266,0.6670709,3.2032895
763,210,0.667537,3.0156677
1203,287,0.66866606,3.2706985
733,237,0.6694315,3.0024529
1102,52,0.67040277,3.0838146
1081,1715,0.67177486,3.07925
719,497,0.67232984,3.0216208
484,426,0.67241347,3.0187483
693,315,0.6730279,3.0464644
1347,161,0.6735784,3.3474658
78,407,0.6743963,3.073646
1235,347,0.67468256,3.0792885
572,1063,0.67479426,3.0248034
631,79,0.675043,3.3052294
729,1170,0.67528486,3.0200496
1232,23,0.6780691,3.5045507
890,193,0.6781031,3.1616566
583,306,0.67840415,3.0845003
1616,460,0.67879075,3.043926
1351,435,0.6794343,3.1417623
419,875,0.6795319,3.0487502
119,1672,0.6799231,3.0173776
1333,854,0.68070155,3.1374753
366,305,0.68077224,3.0743473
1743,819,0.6809973,3.018397
470,753,0.68171644,3.103368
59,1064,0.6819033,3.001937
1150,610,0.681921,3.1153753
403,40,0.6819526,3.0588021
1041,1076,0.68234736,3.0096767
1405,1151,0.6828245,3.1010728
1088,859,0.6841789,3.0225246
916,680,0.68421394,3.029759
1140,822,0.6854047,3.1068199
126,1423,0.6860944,3.0642426
871,272,0.686204,3.2298653
669,169,0.6872103,3.058231
292,29,0.68758065,3.0307822
1789,453,0.6880447,3.009046
1056,1277,0.6895114,3.0695562
732,1006,0.6895317,3.1136317
551,1266,0.6902548,3.2390716
619,496,0.6905593,3.238078
746,738,0.69061714,3.0324643
502,202,0.69087636,3.1266472
632,1781,0.692368,3.1968377
715,524,0.6930075,3.1195138
