Bregma	lam0.2	Centroid_X	Centroid_Y
0.26	2	-3105.311869	3538.161774
0.26	3	-3101.032615	3506.605371
0.26	3	-3094.022515	3463.641677
0.26	2	-3074.907379	3577.484374
0.26	1	-3074.579828	3563.998936
0.26	6	-3074.225824	3513.417585
0.26	9	-3070.645171	3445.698598
0.26	6	-3069.317596	3538.197138
0.26	2	-3068.983982	3475.171996
0.26	3	-3065.195921	3489.321167
0.26	3	-3063.925306	3431.878112
0.26	1	-3059.616051	3439.734122
0.26	3	-3057.05013	3486.759839
0.26	15	-3059.519847	3423.343276
0.26	1	-3056.735602	3512.564788
0.26	2	-3058.106602	3559.042447
0.26	2	-3045.512167	3463.833407
0.26	2	-3030.578772	3574.78375
0.26	2	-3028.622605	3414.082098
0.26	2	-3202.074703	3437.929406
0.26	2	-3170.948509	3519.567296
0.26	2	-3166.11458	3475.915584
0.26	2	-3161.734913	3489.005228
0.26	2	-3134.017273	3415.744132
0.26	2	-3128.20226	3401.820261
0.26	7	-3100.635461	3524.973957
0.26	2	-3078.471957	3415.436544
0.26	3	-3058.889564	3568.162761
0.26	2	-3040.471296	3529.469742
0.26	3	-3029.703702	3563.035524
0.26	9	-3031.860301	3531.329985
0.26	9	-3160.240954	3451.180608
0.26	13	-3158.865864	3574.287032
0.26	7	-3154.20335	3394.487572
0.26	2	-3143.069622	3504.465671
0.26	2	-3087.299865	3395.319973
0.26	2	-3081.956699	3545.815239
0.26	2	-3076.540686	3495.090188
0.26	3	-3147.374855	3583.007437
0.26	6	-3146.696331	3421.053444
0.26	2	-3146.663161	3466.096512
0.26	6	-3140.032015	3423.90133
0.26	2	-3131.151977	3474.954726
0.26	2	-3101.505999	3493.634552
0.26	2	-3055.217444	3417.769326
0.26	2	-3039.117255	3438.529544
0.26	7	-3032.6808	3440.192578
0.26	6	-3214.791805	3729.07524
0.26	4	-3208.577464	3749.583459
0.26	6	-3207.454126	3701.620996
0.26	6	-3204.446838	3710.069793
0.26	4	-3201.903614	3681.687485
0.26	3	-3199.719701	3622.643431
0.26	4	-3194.454674	3743.470551
0.26	4	-3192.006037	3682.642767
0.26	1	-3184.873735	3773.021542
0.26	4	-3182.672152	3643.047588
0.26	2	-3181.256333	3762.52012
0.26	4	-3180.716859	3735.037617
0.26	1	-3181.554474	3692.041876
0.26	3	-3173.395243	3636.716762
0.26	4	-3170.63885	3746.847373
0.26	4	-3169.123729	3665.961645
0.26	4	-3163.596067	3642.973422
0.26	4	-3163.704307	3758.12562
0.26	2	-3161.765549	3719.275743
0.26	4	-3161.308559	3656.469562
0.26	1	-3156.474615	3671.878427
0.26	1	-3153.712107	3622.070439
0.26	4	-3147.924941	3743.048574
0.26	3	-3145.287309	3698.209041
0.26	4	-3142.227222	3639.713099
0.26	13	-3141.522259	3685.448036
0.26	1	-3137.685202	3595.635881
0.26	2	-3139.244315	3776.314381
0.26	3	-3132.483145	3664.977063
0.26	6	-3121.317769	3720.276372
0.26	4	-3117.644421	3635.486738
0.26	6	-3115.16257	3744.363912
0.26	6	-3114.457499	3723.792034
0.26	6	-3106.795138	3761.717382
